Sun Mar 12 15:56:29 CST 2017
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1489305329728,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305334419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305339419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305344420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305349419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305354420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305359454,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305364419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305369420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305374419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305379420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305384419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305389419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305394419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305399419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305404420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305409419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305414420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305419419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305424420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305429419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305434419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305439419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305444419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305449419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305454432,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305459420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305464420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305469420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305474420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305479419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305484419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305489420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305494419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305499441,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305504419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305509419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305514420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305519419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305524419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305529420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305534420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305539419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305544420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305549420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305554420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305559419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305564420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305569420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305574420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305579420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305584420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305589420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305594419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305599420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305604420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305609419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305614419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305619420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305624419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305629419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305634420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305639420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305644419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305649419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305654419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305659420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305664420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305669420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305674420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305679420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305684419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305689419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305694420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305699419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305704420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305709420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305714419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305719420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305724419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305729419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305734419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305739419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305744420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305749420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305754419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305759420,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305764419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305769419,5,25,5,0,5,0,-1,0,0,0,0,0,0
1489305774419,5,25,5,0,5,0,-1,0,0,0,0,0,0
